Station	Header	Station_Code	Station_Country	Station_Name	Station_LongName	Station_ActiveFromDate	Station_ActiveUntilDate	Station_ProgramGovernance	Station_StationGovernance	Station_PURPM	Station_Latitude	Station_LatitudeRange	Station_Longitude	Station_LongitudeRange	Station_Geometry	Station_DataType	Station_WLTYP	Station_MSTAT	Station_Notes	Station_Deprecated
Station	Record	6239	SE	BJÖRKHOLMEN SYDVÄST	BJÖRKHOLMEN SYDVÄST	1992		H	545	T~E~S	58.71030	0.05000	17.50480	0.10000		EF~PB				false 
Station	Record	6240	SE	Blåhäll	Blåhäll	2010		H	545	T~E~S	57.54720	0.05000	18.12120	0.10000		EF~PB				false 
Station	Record	6241	SE	Blankaholm Kaj	Blankaholm Kaj	2008		H~NTL	545	T~B~S	57.59000	0.05000	16.52950	0.10000		EF	C	IH-H		false 
Station	Record	6242	SE	BO3	BO3	1978		H	545	E~S~T	64.30500	0.05000	22.35833	0.10000		HY~NU			Frequent monitoring station for HELCOM.  Includes humic data.  Sampling depth 105 metres.	false 
Station	Record	6243	SE	Bönhamn	Bönhamn	2014		H	545	T~E~S	62.87800	0.05000	18.45660	0.10000		EF~PB				false 
Station	Record	6244	SE	Breda kråkor	Breda kråkor	2007		O~H	545	T~E	57.37383	0.05000	11.90917	0.10000		PB	C			false 
Station	Record	6245	SE	Brofjorden 1	Brofjorden 1	2003		O~NTL	545	T~B~S	58.33280	0.05000	11.40263	0.10000		EF	C	IH-H	Vik S Brofjorden	false 
Station	Record	6246	SE	Brofjorden 2	Brofjorden 2	2003		O~NTL	545	T~B~S	58.34808	0.05000	11.40950	0.10000		EF	C	IH-H	Vik S Brofjorden	false 
Station	Record	6247	SE	Brofjorden 3	Brofjorden 3	2003		O~NTL	545	T~B~S	58.34923	0.05000	11.44152	0.10000		EF	C	IH-H	Vik S Brofjorden	false 
Station	Record	6248	SE	Brofjorden 4	Brofjorden 4	2003		O~NTL	545	T~B~S	58.34133	0.05000	11.36887	0.10000		EF	C	IH-H	Vik N Brofjorden	false 
Station	Record	6249	SE	Brofjorden 5	Brofjorden 5	2003		O	545	T~B~S	58.34550	0.05000	11.39192	0.10000		EF	C	IH-H	Vik N Brofjorden	false 
Station	Record	6250	SE	Brofjorden 6	Brofjorden 6	2003		O	545	T~B~S	58.35927	0.05000	11.41043	0.10000		EF	C	IH-H	Vik N Brofjorden	false 
Station	Record	6251	SE	Brofjorden 7	Brofjorden 7	2004		O	545	T~B~S	58.31237	0.05000	11.38370	0.10000		EF	C	IH-H	Vik mellan Bläckhall och Flatholmen	false 
Station	Record	6252	SE	Brofjorden 8	Brofjorden 8	2004		O	545	T~B~S	58.31078	0.05000	11.36512	0.10000		EF	C	IH-H	Vik vid Brandskär	false 
Station	Record	6253	SE	Bullandö Marina	Bullandö Marina	2008		NTL~H	545	S~T~B	59.29833	0.05000	18.65517	0.10000		EF	C	IH-H	Norr om Långholmen	false 
Station	Record	6254	SE	Burholmen 1	Burholmen 1	2003		O	545	T~B~S	58.89797	0.05000	11.11753	0.10000		EF	C	B	Vik mellan Burholmarna	false 
Station	Record	6255	SE	Burholmen 2	Burholmen 2	2003		O	545	T~B~S	58.89832	0.05000	11.11658	0.10000		EF	C	B	Vik mellan Burholmarna	false 
Station	Record	6256	SE	Burholmen 3	Burholmen 3	2003		O	545	T~B~S	58.89838	0.05000	11.11577	0.10000		EF	C	B	Vik mellan Burholmarna	false 
Station	Record	6257	SE	Burholmen 4	Burholmen 4	2005		O	545	T~B~S	58.89193	0.05000	11.11885	0.10000		EF	C	B	Skär SV Burholmarna	false 
Station	Record	6258	SE	Burholmen 5	Burholmen 5	2005		O~NTL	545	T~B~S	58.89455	0.05000	11.12137	0.10000		EF	C	B	Skär SV Burholmarna	false 
Station	Record	6259	SE	Burholmen 6	Burholmen 6	2005		O	545	T~B~S	58.89630	0.05000	11.12553	0.10000		EF	C	B	Skär SV Burholmarna	false 
Station	Record	6260	SE	BY1	BY1	1963		H	545	E~S~T	55.00000	0.05000	13.30000	0.10000		HY~EU~NU			Frequent monitoring station for HELCOM.  Includes humic data.  Sampling depth 47 metres.	false 
Station	Record	6261	SE	BY10	BY10	1968		H	545	E~S~T	56.63333	0.05000	19.58333	0.10000		HY~EU~NU			Frequent monitoring station for HELCOM.  Sampling depth 147 metres.	false 
Station	Record	6262	SE	BY11	BY11	1967		H	545	E~S~T	57.06667	0.05000	19.83333	0.10000		HY~NU			Winter nutrients.  Sampling depth 213 metres.	false 
Station	Record	6263	SE	BY13	BY13	1964		H	545	E~S~T	57.39167	0.05000	19.43333	0.10000		HY~NU			Winter nutrients.  Sampling depth 122 metres.	false 
Station	Record	6264	SE	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	1996		H	545	E~S~T	57.33333	0.05000	20.05000	0.10000		HY~EU~PP~PR~NU	MO	B	Frequent monitoring station for HELCOM.  High frequency monitoring station for HELCOM.  Includes humic data.  Sampling depth 249 metres.	false 
Station	Record	6265	SE	BY15 W	BY15 W	2012		H	545	T~E	57.31500	0.05000	19.91000	0.10000		PP~ZP	MO			false 
Station	Record	6266	SE	BY17	BY17	1964		H	545	E~S~T	57.29167	0.05000	20.63333	0.10000		HY~NU			Winter nutrients.  Sampling depth 100 metres.	false 
Station	Record	6267	SE	BY19	BY19	1969		H	545	E~S~T	57.61667	0.05000	20.16667	0.10000		HY~NU			Winter nutrients.  Sampling depth 160 metres.	false 
Station	Record	6268	SE	BY2 ARKONA	BY2 ARKONA	1979		H	545	E~S~T	54.97333	0.05000	14.09667	0.10000		HY~PP~NU	MO	B	Frequent monitoring station for HELCOM.	false 
Station	Record	6269	SE	BY2 NW	BY2 NW	2012		H	545	T~E	55.02600	0.05000	14.00800	0.10000		PP	MO			false 
Station	Record	6270	SE	BY20	BY20	1963		H	545	E~S~T	58.00000	0.05000	19.88333	0.10000		HY~EU~NU			Frequent monitoring station for HELCOM.  Sampling depth 203 metres.	false 
Station	Record	6271	SE	BY21	BY21	1963		H	545	E~S~T	58.44167	0.05000	20.33333	0.10000		HY~NU			Winter nutrients.  Sampling depth 122 metres.	false 
Station	Record	6272	SE	BY27	BY27	1966		H	545	E~S~T	59.29667	0.05000	21.56667	0.10000		HY~NU			Winter nutrients.  Sampling depth 160 metres.	false 
Station	Record	6273	SE	BY28	BY28	1965		H	545	E~S~T	59.03333	0.05000	21.08333	0.10000		HY~NU			Winter nutrients.  Sampling depth 200 metres.	false 
