scientific_name	dyntaxa_id	aphia_id	worms_scientific_name	worms_status	worms_rank	worms_kingdom	worms_phylum	worms_class	worms_order	worms_family	worms_genus
Zannichellia major	223535	715997	Zannichellia major	accepted	Species	Plantae	Tracheophyta		Alismatales	Potamogetonaceae	Zannichellia
Zeugopterus punctatus	206249	127151	Zeugopterus punctatus	accepted	Species	Animalia	Chordata		Pleuronectiformes	Scophthalmidae	Zeugopterus
Zoarces	1001844	126108	Zoarces	accepted	Genus	Animalia	Chordata		Perciformes	Zoarcidae	Zoarces
Zoarces viviparus	206293	127123	Zoarces viviparus	accepted	Species	Animalia	Chordata		Perciformes	Zoarcidae	Zoarces
Zostera	1005580	144233	Zostera	accepted	Genus	Plantae	Tracheophyta		Alismatales	Zosteraceae	Zostera
Zostera marina	219616	495077	Zostera marina	alternate representation	Species	Plantae	Tracheophyta		Alismatales	Zosteraceae	Zostera
Zygabikodinium lenticulatum	238164	110177	Zygabikodinium lenticulatum	unaccepted	Species	Chromista	Myzozoa		Peridiniales	Kolkwitziellaceae	Zygabikodinium
Zygnema	1014422	578376	Zygnema	accepted	Genus	Plantae	Charophyta		Zygnematales	Zygnemataceae	Zygnema
Zygnematales	3000403	162693	Zygnematales	accepted	Order	Plantae	Charophyta		Zygnematales		
Zygoptera	2000866	890526	Zygoptera	accepted	Suborder	Animalia	Arthropoda		Odonata		
Octactis speculum	0	1310442	Octactis speculum	accepted	Species	Chromista	Ochrophyta		Dictyochales	Dictyochaceae	Octactis
Physonectae	0	135335	Physonectae	accepted	Suborder	Animalia	Cnidaria		Siphonophorae		
Pisces	0	11676	Pisces	unaccepted	Superclass	Animalia	Chordata				
Sphacelaria arctica	0	145889	Sphacelaria arctica	unaccepted	Species	Chromista	Ochrophyta		Sphacelariales	Sphacelariaceae	Sphacelaria
Turbellaria	0	794	Turbellaria	unaccepted	Class	Animalia	Platyhelminthes				





Aclis minor		1321518	Aclis latior	accepted	Species	Animalia	Mollusca		Littorinimorpha	Eulimidae	Aclis
